metric,READOUT_CLASS,BASELINE_ONLY,DESCRIPTIVE,outcome,lane,scope,theoretical_floor,theoretical_ceiling,value_in_unperturbed_control,fraction_of_range_used_by_control,observed_min,observed_max,observed_spread,effective_dynamic_range,n_observations,saturation_threshold,flag,verdict_relabel,which_verdict_depends_on_it,source_file,json_path,note
M2,activation,False,True,D_curve,B,"L1 (Qwen/Qwen3-4B-Base), alphas 0.00-1.00",0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5,0.005,SATURATED,"INDETERMINATE (the outcome is at its ceiling in the unperturbed control, so it cannot fall)",'the harm representation survives the lesion ENTIRELY' -- the headline recognition claim,LANE_B/out/analysis.json,lineages.L1.D_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_matched_probe_curve,B,"L1 (Qwen/Qwen3-4B-Base), alphas 0.00-1.00",0.5,1.0,0.9439981096408318,0.887996,0.9353733459357277,0.9448251417769377,0.009452,0.018904,5,0.005,HAS_HEADROOM,STANDS,the matched-twin companion to the same recognition claim,LANE_B/out/analysis.json,lineages.L1.D_matched_probe_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_matched_axis_curve,B,"L1 (Qwen/Qwen3-4B-Base), alphas 0.00-1.00",0.5,1.0,0.9362003780718336,0.872401,0.509569943289225,0.936554820415879,0.426985,0.85397,5,0.005,HAS_HEADROOM,STANDS,'removing u post-hoc drops the probe' -- the 1-D axis readout,LANE_B/out/analysis.json,lineages.L1.D_matched_axis_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_axis_1d_curve,B,"L1 (Qwen/Qwen3-4B-Base), alphas 0.00-1.00",0.5,1.0,0.9998779296875,0.999756,0.57427978515625,0.9998779296875,0.425598,0.851196,5,0.005,SATURATED,"INDETERMINATE (the outcome is at its ceiling in the unperturbed control, so it cannot fall)",the lesion-exactness verification,LANE_B/out/analysis.json,lineages.L1.D_axis_1d_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_curve,B,"L2 (Qwen/Qwen3-4B), alphas 0.00-1.00",0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5,0.005,SATURATED,"INDETERMINATE (the outcome is at its ceiling in the unperturbed control, so it cannot fall)",'the harm representation survives the lesion ENTIRELY' -- the headline recognition claim,LANE_B/out/analysis.json,lineages.L2.D_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_matched_probe_curve,B,"L2 (Qwen/Qwen3-4B), alphas 0.00-1.00",0.5,1.0,0.970226843100189,0.940454,0.970226843100189,0.9763705103969754,0.006144,0.012287,5,0.005,HAS_HEADROOM,STANDS,the matched-twin companion to the same recognition claim,LANE_B/out/analysis.json,lineages.L2.D_matched_probe_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_matched_axis_curve,B,"L2 (Qwen/Qwen3-4B), alphas 0.00-1.00",0.5,1.0,0.9712901701323251,0.94258,0.5074432892249527,0.9715264650283554,0.464083,0.928166,5,0.005,HAS_HEADROOM,STANDS,'removing u post-hoc drops the probe' -- the 1-D axis readout,LANE_B/out/analysis.json,lineages.L2.D_matched_axis_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_axis_1d_curve,B,"L2 (Qwen/Qwen3-4B), alphas 0.00-1.00",0.5,1.0,0.999267578125,0.998535,0.5899658203125,0.999267578125,0.409302,0.818604,5,0.005,SATURATED,"INDETERMINATE (the outcome is at its ceiling in the unperturbed control, so it cannot fall)",the lesion-exactness verification,LANE_B/out/analysis.json,lineages.L2.D_axis_1d_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_curve,B,"L3 (Qwen/Qwen3-4B-SafeRL), alphas 0.00-1.00",0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5,0.005,SATURATED,"INDETERMINATE (the outcome is at its ceiling in the unperturbed control, so it cannot fall)",'the harm representation survives the lesion ENTIRELY' -- the headline recognition claim,LANE_B/out/analysis.json,lineages.L3.D_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_matched_probe_curve,B,"L3 (Qwen/Qwen3-4B-SafeRL), alphas 0.00-1.00",0.5,1.0,0.9754253308128544,0.950851,0.9754253308128544,0.9790879017013232,0.003663,0.007325,5,0.005,HAS_HEADROOM,STANDS,the matched-twin companion to the same recognition claim,LANE_B/out/analysis.json,lineages.L3.D_matched_probe_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_matched_axis_curve,B,"L3 (Qwen/Qwen3-4B-SafeRL), alphas 0.00-1.00",0.5,1.0,0.9614839319470699,0.922968,0.6514650283553876,0.9729442344045368,0.321479,0.642958,5,0.005,HAS_HEADROOM,STANDS,'removing u post-hoc drops the probe' -- the 1-D axis readout,LANE_B/out/analysis.json,lineages.L3.D_matched_axis_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_axis_1d_curve,B,"L3 (Qwen/Qwen3-4B-SafeRL), alphas 0.00-1.00",0.5,1.0,0.99969482421875,0.99939,0.58636474609375,0.99969482421875,0.41333,0.82666,5,0.005,SATURATED,"INDETERMINATE (the outcome is at its ceiling in the unperturbed control, so it cannot fall)",the lesion-exactness verification,LANE_B/out/analysis.json,lineages.L3.D_axis_1d_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_curve,B,"L4 (CohenQu/Qwen3-4B-Base_HintGen-STaR.03.01_1e-6), alphas 0.00-1.00",0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5,0.005,SATURATED,"INDETERMINATE (the outcome is at its ceiling in the unperturbed control, so it cannot fall)",'the harm representation survives the lesion ENTIRELY' -- the headline recognition claim,LANE_B/out/analysis.json,lineages.L4.D_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_matched_probe_curve,B,"L4 (CohenQu/Qwen3-4B-Base_HintGen-STaR.03.01_1e-6), alphas 0.00-1.00",0.5,1.0,0.9411625708884688,0.882325,0.931828922495274,0.944234404536862,0.012405,0.024811,5,0.005,HAS_HEADROOM,STANDS,the matched-twin companion to the same recognition claim,LANE_B/out/analysis.json,lineages.L4.D_matched_probe_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_matched_axis_curve,B,"L4 (CohenQu/Qwen3-4B-Base_HintGen-STaR.03.01_1e-6), alphas 0.00-1.00",0.5,1.0,0.9386814744801513,0.877363,0.47081758034026466,0.9387996219281664,0.467982,0.935964,5,0.005,HAS_HEADROOM,STANDS,'removing u post-hoc drops the probe' -- the 1-D axis readout,LANE_B/out/analysis.json,lineages.L4.D_matched_axis_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,D_axis_1d_curve,B,"L4 (CohenQu/Qwen3-4B-Base_HintGen-STaR.03.01_1e-6), alphas 0.00-1.00",0.5,1.0,0.9998779296875,0.999756,0.50445556640625,0.9998779296875,0.495422,0.990845,5,0.005,SATURATED,"INDETERMINATE (the outcome is at its ceiling in the unperturbed control, so it cannot fall)",the lesion-exactness verification,LANE_B/out/analysis.json,lineages.L4.D_axis_1d_curve,floor 0.5: an AUROC-scale outcome cannot go below chance
M2,activation,False,True,S2 verdict: K1_A_arming,B,0 of 4 lineages scored,,,,,,,,,4,0.005,INDETERMINATE_NO_MATCHED_POINT,INDETERMINATE_ALL_LINEAGES,Every registered damage-signature row returned INDETERMINATE_NO_MATCHED_POINT because the primary damage variable was FLAT AT CEILING with no matched point. Iteration 1 carried this only in its limitations section; it is printed here beside the claim it qualifies.,LANE_B/out/analysis.json,S2_verdicts.K1_A_arming.verdict,"scored on fewer than 4 lineages - the weakened rule is stated, not silent"
