0
"BL1 is reported in BOTH forms: BL1_easy (iter-2's stored definition, EASY prompts; asserted equal to the stored value for all 25 checkpoints) and BL1_hard (the plan's HARD-prompt definition). They can differ in sign (mlabonne: -1.96 vs +1.76)."
"Held-out request-axis d is fit on EASY and scored on HARD; at layer 0 all prompts share one state, so layers with degenerate (tied) scores are excluded from onset search."
The fixed-axis accumulation test on HARD prompts is UNDEFINED for every 4B arm (the EASY-fit layer-13 axis has a NEGATIVE HARD start gap); an in-distribution cross-fitted EASY variant was added and is the one reported in the master table.
Lane B per-layer cells use B=500 scenario bootstraps (band cells B=2000); the Holm family is 48 tests with a per-site 16-test family reported beside it (no verdict changed).
"The scenario sign-flip permutation (thresholds held fixed) can reject where the re-thresholding bootstrap CI spans 0 (e.g. L1 LATE alpha=1): the permutation p conditions on the operating threshold, the bootstrap CI does not; both are reported."
Response-site TPR@1%FPR on A_resp is NOT_RESOLVABLE (48 negatives); only TPR@5%FPR and AUROC are reported there.
"STaR (CohenQu) has no judged generations: its HC/OR are UNDEFINED, never zero-filled."
"Lane B: Pipeline was RESTARTED at task5: the original laneb.py process (PID started at the first run) had already written laneb_reconcile.json (task1), laneb_cells.json + laneb_scores_band.npz (task2), laneb_tests.json (task3) and laneb_contrasts.json (task4) to disk and was progressing through task5's 152 qualifying cells when it was killed (by this same agent, by PID) after >14 minutes with no sign of f"
"Lane B: task5 MDE(b) McNemar simulation: modelled as a one-directional degradation (lesion can only turn a hit into a miss, so the exact McNemar discordant count c=0 by construction) rather than a general two-directional flip; this matches the observed direction of every lesion effect in this harvest (alpha increases -> TPR never rises) and gives a conservative (smaller) detectable delta than a symmetric "
"Lane B: task5 MDE(c) bootstrap-shift power: a live pilot on the actual 152 qualifying cells showed the nominal 200 outer sims x 200 inner boots x 9-point grid would not finish inside the wall-clock budget (>14 min and rising with no completion for a single lineage's worth of cells, running on a 2-CPU box shared with another job), so the pipeline was stopped after tasks 1-4 had already been written to disk"
