metric,READOUT_CLASS,BASELINE_ONLY,DESCRIPTIVE,block,claim,claimed_value,recomputed_value,verdict,source_file,locator,note
M8,metadata,True,True,SUBSTRATE PROVENANCE,The method section describes a 144-token substrate for the screen lane,144,80,MISMATCH,LANE_A/lane_a/substrate.py,lane_a/substrate.py:TOTAL_L,"The screen lane actually ran 80-token frames. Every Lane A table -- Stage-0 gates, the five candidates, the shuffled-label band, the probe-axis robustness table, the within-checkpoint cosine table and the scale table -- was produced on TOTAL_L=80, not 144. The only 128-token stimulus is K4's persistence probe (K4_TOTAL_L=128)."
M8,metadata,True,True,SUBSTRATE PROVENANCE,ACTION slot pinned at token 8 (FIRST_SLOT),8,8,MATCH,LANE_A/lane_a/substrate.py,lane_a/substrate.py:FIRST_SLOT,
M8,metadata,True,True,SUBSTRATE PROVENANCE,ACTION slot pinned at token 46 (SECOND_SLOT),46,46,MATCH,LANE_A/lane_a/substrate.py,lane_a/substrate.py:SECOND_SLOT,
M8,metadata,True,True,SUBSTRATE PROVENANCE,prereg templates.first_slot_token_index agrees with substrate.py:FIRST_SLOT,8,8,MATCH,LANE_A/work/prereg.json,templates.first_slot_token_index,
M8,metadata,True,True,SUBSTRATE PROVENANCE,prereg templates.second_slot_token_index agrees with substrate.py:SECOND_SLOT,46,46,MATCH,LANE_A/work/prereg.json,templates.second_slot_token_index,
M8,metadata,True,True,SUBSTRATE PROVENANCE,prereg templates.prefix_total_tokens agrees with substrate.py:TOTAL_L,80,80,MATCH,LANE_A/work/prereg.json,templates.prefix_total_tokens,
M8,activation,False,True,SHUFFLED-LABEL BAND,|A| under PERMUTED labels reaches 11.0-11.8 null-SD in the trained arms,"[11.0, 11.8]","[11.041309, 11.775489]",MATCH,LANE_A/out/method_out.json,metadata.cheapest_kill.A_shuffled_label_band_abs_p975,the band is the EVIDENCE test; the isotropic unit is only a UNIT
M8,activation,False,True,SHUFFLED-LABEL BAND,"the band collapses to 1.27 in the randomly initialised arm, which is what proves the band width is a property of TRAINED representations and not of the procedure",1.27,1.268201,MATCH,LANE_A/out/method_out.json,metadata.cheapest_kill.A_shuffled_label_band_abs_p975.RandInit-4B,
M8,activation,False,True,SHUFFLED-LABEL BAND,A escapes the shuffled-label band in 0 of 7 checkpoints,0,0,MATCH,LANE_A/out/method_out.json,metadata.cheapest_kill.A_escapes_shuffled_label_band,checked over 7 checkpoints
M8,text,True,True,THE CAUSAL CRASH,"LANE_B/out/causal/ contains exactly ONE file, L2_a0.00.json, the unlesioned baseline",1,1,MATCH,LANE_B/out/causal,file count,files present: ['LANE_B/out/causal/L2_a0.00.json']
M8,text,True,True,THE CAUSAL CRASH,Seven of eight causal jobs died and zero tokens were generated anywhere in the artifact,7,7,MATCH,LANE_B/logs/causal_*.log,8 expected jobs (4 lineages x 2 alphas) minus outputs present,the paper's title claim had NO supporting evidence
M8,text,True,True,THE CAUSAL CRASH,causal job log causal_L1_0.0.log,succeeded,FAILED,MISMATCH,LANE_B/logs/causal_L1_0.0.log,last lines,VERBATIM TAIL: ./followup.sh: line 12: .venv/bin/python: No such file or directory
M8,text,True,True,THE CAUSAL CRASH,causal job log causal_L1_1.0.log,succeeded,FAILED,MISMATCH,LANE_B/logs/causal_L1_1.0.log,last lines,VERBATIM TAIL: ./followup.sh: line 12: .venv/bin/python: No such file or directory
M8,text,True,True,THE CAUSAL CRASH,causal job log causal_L2_0.0.log,succeeded,succeeded,MATCH,LANE_B/logs/causal_L2_0.0.log,last lines,VERBATIM TAIL:   short_span_8|add|control|2                       delta=-0.0000 |   short_span_8|remove|r_content                    delta=+0.0000 |   short_span_8|remove|control                      delta=+0.0000 |   POSITIVE_CONTROL|patch_mean_benign_residual      delta=-0.0004
M8,text,True,True,THE CAUSAL CRASH,causal job log causal_L2_1.0.log,succeeded,FAILED,MISMATCH,LANE_B/logs/causal_L2_1.0.log,last lines,"VERBATIM TAIL:     import torch |   File ""/ai-inventor/aii_data/runs/run_YqmEFECOIR3D/3_invention_loop/iter_1/gen_art/gen_art_experiment_2/.venv/lib/python3.12/site-packages/torch/__init__.py"", line 38, in <module> |     from typing_extensions import ParamSpec as _ParamSpec | ModuleNotFoundError: No module named 'typing_extensions'"
M8,text,True,True,THE CAUSAL CRASH,causal job log causal_L3_0.0.log,succeeded,FAILED,MISMATCH,LANE_B/logs/causal_L3_0.0.log,last lines,VERBATIM TAIL: ./followup.sh: line 12: .venv/bin/python: No such file or directory
M8,text,True,True,THE CAUSAL CRASH,causal job log causal_L3_1.0.log,succeeded,FAILED,MISMATCH,LANE_B/logs/causal_L3_1.0.log,last lines,VERBATIM TAIL: ./followup.sh: line 12: .venv/bin/python: No such file or directory
M8,text,True,True,THE CAUSAL CRASH,causal job log causal_L4_0.0.log,succeeded,FAILED,MISMATCH,LANE_B/logs/causal_L4_0.0.log,last lines,VERBATIM TAIL: ./followup.sh: line 12: .venv/bin/python: No such file or directory
M8,text,True,True,THE CAUSAL CRASH,causal job log causal_L4_1.0.log,succeeded,FAILED,MISMATCH,LANE_B/logs/causal_L4_1.0.log,last lines,VERBATIM TAIL: ./followup.sh: line 12: .venv/bin/python: No such file or directory
M8,metadata,True,True,THE CAUSAL CRASH,followup.sh line 12 references an absent .venv interpreter,references .venv,"    .venv/bin/python -u src/causal.py ""$LG"" --alpha ""$AL"" --items 48 > ""logs/causal_${LG}_${AL}.log"" 2>&1",MATCH,LANE_B/followup.sh,line 12,
M8,text,True,True,DATASET GATES THAT FAILED,prefix-hazard rating 0.9429 against a 0.95 threshold,0.9429,0.9429,MATCH,DATASET/judge_validation.json,subsets.prefix_hazard_family_identification.pooled.hazard_identification_accuracy,registered threshold 0.95; this gate FAILED
M8,metadata,True,True,DATASET GATES THAT FAILED,the failure dropped the confirmatory set from 96 items to 85,"[96, 85]","[96.0, 85.0]",MATCH,DATASET/prereg.json,"qc_exclusions.{confirmatory_n_before,confirmatory_n_after}",11 items were excluded by name
M8,metadata,True,True,DATASET GATES THAT FAILED,placebo distance at a median ratio of 1.25 against 1.10,1.25,1.25,MATCH,DATASET/prereg.json,placebo_calibration_full.median_ratio,"status recorded in the file is FAILED; the gate is 'median token-edit distance benign<->hazardous and benign<->placebo agree within 10%', and the MEAN ratio is 1.1331, which would have passed -- the gate is failed on the MEDIAN"
M8,metadata,True,True,DATASET GATES THAT FAILED,only 4 of 6 surface-minimal contrast families supplied,4,,NOT_IN_SOURCE,DATASET/prereg.json,split.families | families,"the stimulus set ships 6 genuine XSTest contrast families (definitions, figurative_language, historical_events, homonyms, safe_contexts, safe_targets); the claim concerns how many are SURFACE-MINIMAL, which the dataset artifact does not record as its own field"
M8,text,True,True,DATASET GATES THAT FAILED,judge-validation gate twin_harmful_member_accuracy,0.9,0.9967,MATCH,DATASET/judge_validation.json,gates[name=twin_harmful_member_accuracy],status recorded: PASSED
M8,text,True,True,DATASET GATES THAT FAILED,judge-validation gate twin_benign_member_accuracy,0.85,0.9967,MATCH,DATASET/judge_validation.json,gates[name=twin_benign_member_accuracy],status recorded: PASSED
M8,text,True,True,DATASET GATES THAT FAILED,judge-validation gate prefix_hazard_identification_accuracy,0.95,0.9429,MISMATCH,DATASET/judge_validation.json,gates[name=prefix_hazard_identification_accuracy],status recorded: FAILED
M8,text,True,True,DATASET GATES THAT FAILED,judge-validation gate prefix_family_identification_accuracy,0.9,0.9506,MATCH,DATASET/judge_validation.json,gates[name=prefix_family_identification_accuracy],status recorded: PASSED
M8,text,True,True,DATASET GATES THAT FAILED,judge-validation gate ladder_spearman_rho,0.7,0.878,MATCH,DATASET/judge_validation.json,gates[name=ladder_spearman_rho],status recorded: PASSED
M8,text,True,True,DATASET GATES THAT FAILED,judge-validation gate non_operationality_flag_count,0,0,MATCH,DATASET/judge_validation.json,gates[name=non_operationality_flag_count],status recorded: PASSED
M8,text,True,True,DATASET GATES THAT FAILED,judge-validation gate cohens_kappa_pooled,0.6,0.8953,MATCH,DATASET/judge_validation.json,gates[name=cohens_kappa_pooled],status recorded: PASSED
M8,metadata,True,True,DATASET GATES THAT FAILED,no human rater anywhere in the pipeline,True,True,MATCH,DATASET/prereg.json,limitations.no_human_rater,both raters are LLMs: openai/gpt-5-nano and google/gemini-3.8-flash. Every judgement in all three lanes is LLM-produced.
M8,metadata,True,True,HARVEST INVENTORY,LANE_B/out/harvest contains 109 numpy files,109,104,MISMATCH,LANE_B/out/harvest,count of *.npz,"112 files total = 104 npz + 8 json. 4 lineages x 5 alphas x 5 shards = 100, plus 4 L*_dirs.npz."
M8,activation,False,True,HARVEST INVENTORY,raw hidden states were saved NOWHERE in iteration 1,0,4200,MISMATCH,LANE_B/out/harvest,"arrays of shape (item, d_model) per layer","FALSE AS STATED. The harvest holds per-item band-layer vectors for 4 lineages at 5 lesion strengths, so M1's strong form is computable at zero GPU cost."
M8,metadata,True,True,ABLITERATED SCOPE,the abliterated checkpoint is in NO metric table,0,14,MISMATCH,LANE_A/out/SUMMARY.md,occurrences of 'abliterated',"Absent from LANE_C/results/per_ckpt (21 files, none of which is mlabonne's Qwen3-4B-abliterated) and absent from Lane B's activation harvest (L1-L4 contain no abliterated arm). PRESENT in Lane A: 2 released direction files and 14 mentions in SUMMARY.md."
M8,activation,False,True,ABLITERATED SCOPE,Lane A released a direction file for the abliterated arm,2,2,MATCH,LANE_A/out/released/directions,*abliterated*.npy,
M8,metadata,True,True,ABLITERATED SCOPE,Lane C's 21-checkpoint panel contains mlabonne/Qwen3-4B-abliterated,True,False,MISMATCH,LANE_C/results/per_ckpt,*.json filenames,"Lane C's panel does hold 6 OTHER checkpoints whose name carries 'abliterated'; the omission is of THIS checkpoint, not of the category."
M8,metadata,True,True,INHERITED FROM M4,"Lane A G1 fails all 7 arms at 0.352-0.387, 0.156 in RandInit-4B","(0.352, 0.387, 0.156)","[0.352318, 0.386822, 0.156059]",MATCH,LANE_A/out/method_out.json,$.metadata.gates.G1_direction_stability.*,
M8,metadata,True,True,INHERITED FROM M4,RandInit-4B is the only G3 failure (untrained-arm negative control),"[""RandInit-4B""]","[""RandInit-4B""]",MATCH,LANE_A/out/method_out.json,$.metadata.gates.G3_positive_control.*,
M8,metadata,True,True,INHERITED FROM M4,Shuffled-label band collapses in RandInit-4B (~1.3 vs ~11-12 trained),"(1.268, 11.0, 12.0)","[1.268201, 11.041309, 11.775489]",MATCH,LANE_A/out/method_out.json,$.metadata.cheapest_kill.A_shuffled_label_band_abs_p975,
M8,metadata,True,True,INHERITED FROM M4,G5 FAILS in all 7 Lane A arms including RandInit-4B,7,7,MATCH,LANE_A/out/method_out.json,$.metadata.gates.G5_placebo_equivalence.*,
M8,metadata,True,True,INHERITED FROM M4,"subtraction_licensed True only for NonSafetyFT-STaR/Base-chat/Base-plain, False only for Qwen3-4B/SafeRL/abliterated","(['NonSafetyFT-STaR', 'Qwen3-4B-Base-chat', 'Qwen3-4B-Base-plain'], ['Qwen3-4B', 'Qwen3-4B-SafeRL', 'Qwen3-4B-abliterated'])","[""['NonSafetyFT-STaR', 'Qwen3-4B-Base-chat', 'Qwen3-4B-Base-plain']"", ""['Qwen3-4B', 'Qwen3-4B-SafeRL', 'Qwen3-4B-abliterated', 'RandInit-4B']""]",MATCH,LANE_A/out/method_out.json,$.metadata.gates.G6_nll_match.*.subtraction_licensed,
M8,metadata,True,True,INHERITED FROM M4,schema note: is_upper_bound=True for Qwen3-4B only,"[""Qwen3-4B""]","[""Qwen3-4B"", ""Qwen3-4B-SafeRL"", ""Qwen3-4B-abliterated"", ""RandInit-4B""]",MISMATCH,LANE_A/out/method_out.json,$.metadata.A_net.*.is_upper_bound,
M8,metadata,True,True,INHERITED FROM M4,achieved SD ratio r is 3.24-9.97 against planned 1.2,"(3.24, 9.97)","[3.236346, 9.96795]",MATCH,LANE_A/out/method_out.json,$.metadata.gates.G7_power.*.achieved_r_full_n96,
M8,metadata,True,True,INHERITED FROM M4,detectable effect is 0.65-1.99 null-SD against a registered 0.50 threshold,"(0.65, 1.99)","[0.647404, 1.994005]",MATCH,LANE_A/out/method_out.json,$.metadata.gates.G7_power.*.mde_1.96se_at_n96,
M8,metadata,True,True,INHERITED FROM M4,"G8 judge: twin_accuracy=0.9792, gate_pass=True at threshold 0.90","(0.9792, True)","[0.9792, 1.0]",MATCH,LANE_A/out/method_out.json,$.metadata.gates.G8_judge,
M8,metadata,True,True,INHERITED FROM M4,"S1 verdicts: K1 FAIL, K2 FAIL, K3 PASS, K4 FAIL, K5 FAIL","{""K1"": ""FAIL"", ""K2"": ""FAIL"", ""K3"": ""PASS"", ""K4"": ""FAIL"", ""K5"": ""FAIL""}","{""K1"": ""FAIL"", ""K2"": ""FAIL"", ""K3"": ""PASS"", ""K4"": ""FAIL"", ""K5"": ""FAIL""}",MATCH,LANE_A/out/method_out.json,$.metadata.s1_table[*].S1,
M8,metadata,True,True,INHERITED FROM M4,"K3's S1 PASS carries margins with ci95=[NaN,NaN] and ci_excludes_zero=False","(True, False)","[1.0, 0.0]",MATCH,LANE_A/out/method_out.json,$.metadata.s1_table[K3].margins.*,
M8,metadata,True,True,INHERITED FROM M4,K4 tau UNDEFINED with R^2<0.3 in 7 of 7 arms,7,7,MATCH,LANE_A/out/method_out.json,$.metadata.candidates.*.K4.r2,
M8,metadata,True,True,INHERITED FROM M4,K3 footprint(Base-plain)=50.4 vs 2.5-3.7 elsewhere,"(50.4, 2.5, 3.7)","[50.37, 2.46, 3.69]",MATCH,LANE_A/out/method_out.json,$.metadata.candidates.*.K3.footprint.value,
