quoted_value,source_artifact,source_text,recomputed_value,abs_diff,match,status,kind,explanation
0.475,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"HARD-set recognition R TPR@5%FPR, Base",0.475,0.0,True,MATCH,rate,iter-2 nested HARD-set protocol re-run from A_prompt (seed 921)
0.875,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"HARD-set recognition R TPR@5%FPR, instruct",0.875,0.0,True,MATCH,rate,iter-2 nested HARD-set protocol re-run from A_prompt (seed 921)
0.85,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"HARD-set recognition R TPR@5%FPR, SafeRL",0.85,0.0,True,MATCH,rate,iter-2 nested HARD-set protocol re-run from A_prompt (seed 921)
0.838,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"HARD-set recognition R TPR@5%FPR, abliterated",0.8375,0.0004999999999999449,True,MATCH,rate,iter-2 nested HARD-set protocol re-run from A_prompt (seed 921)
33.0,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"HARD-set recognition onset layer, Base",33,0.0,True,MATCH,int,first layer whose cross-fitted HARD diff-in-means AUROC >= 0.5+0.9*(max-0.5)
19.0,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"HARD-set recognition onset layer, instruct",19,0.0,True,MATCH,int,first layer whose cross-fitted HARD diff-in-means AUROC >= 0.5+0.9*(max-0.5)
19.0,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"HARD-set recognition onset layer, SafeRL",19,0.0,True,MATCH,int,first layer whose cross-fitted HARD diff-in-means AUROC >= 0.5+0.9*(max-0.5)
19.0,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"HARD-set recognition onset layer, abliterated",19,0.0,True,MATCH,int,first layer whose cross-fitted HARD diff-in-means AUROC >= 0.5+0.9*(max-0.5)
1.57,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"peak logit-lens refusal-drive gap, Base",1.5741194486618042,0.004119448661804137,True,MATCH,other,"max over layers of the EASY-set harm-conditioned drive gap (iter-2 x8 curve, unsmoothed)"
4.92,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"peak logit-lens refusal-drive gap, instruct",4.924201965332031,0.004201965332031321,True,MATCH,other,"max over layers of the EASY-set harm-conditioned drive gap (iter-2 x8 curve, unsmoothed)"
8.78,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"peak logit-lens refusal-drive gap, SafeRL",8.784219741821289,0.004219741821289702,True,MATCH,other,"max over layers of the EASY-set harm-conditioned drive gap (iter-2 x8 curve, unsmoothed)"
1.92,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"peak logit-lens refusal-drive gap, abliterated",1.9166876077651978,0.003312392234802175,True,MATCH,other,"max over layers of the EASY-set harm-conditioned drive gap (iter-2 x8 curve, unsmoothed)"
2.57,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,"peak logit-lens refusal-drive gap, STaR",2.56719708442688,0.0028029155731199573,True,MATCH,other,"max over layers of the EASY-set harm-conditioned drive gap (iter-2 x8 curve, unsmoothed)"
-1.96,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,abliterated final-layer drive (BL1),-1.9568374156951904,0.003162584304809535,True,MATCH,other,BL1 on the EASY prompts (iter-2 definition); on HARD prompts it is 1.76 -- the sign flips with the prompt set
-0.3,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,BL1 Base,-0.29812681674957275,0.001873183250427235,True,MATCH,other,EASY-set BL1; HARD-set BL1 = 0.32
1.96,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,BL1 STaR,1.9611196517944336,0.0011196517944336293,True,MATCH,other,EASY-set BL1; HARD-set BL1 = 0.63
5.68,"art_2sz7g3MD4_y3 Lane B (r_ablit_sep, damage/fit_ablit 128+128 in-sample)",request-axis Cohen's d 5.68 (Base) -- A_prompt analogue,5.4684493220228125,0.21155067797718718,False,DIFFERENT_ESTIMAND,other,"NOT the same estimand: Lane B fitted and scored in-sample on its own 128+128 prompt corpus; recomputed value here is the A_prompt EASY 48+48 in-sample d at l*; the Lane-B-corpus value is re-derived in laneb_accum.json (see the Lane B rows of this ledger). Held-out (EASY-fit, HARD-scored) peak d = 0.54"
5.74,"art_2sz7g3MD4_y3 Lane B (r_ablit_sep, damage/fit_ablit 128+128 in-sample)",request-axis Cohen's d 5.74 (STaR) -- A_prompt analogue,5.166258389272881,0.5737416107271196,False,DIFFERENT_ESTIMAND,other,"NOT the same estimand: Lane B fitted and scored in-sample on its own 128+128 prompt corpus; recomputed value here is the A_prompt EASY 48+48 in-sample d at l*; the Lane-B-corpus value is re-derived in laneb_accum.json (see the Lane B rows of this ledger). Held-out (EASY-fit, HARD-scored) peak d = 0.59"
11.15,"art_2sz7g3MD4_y3 Lane B (r_ablit_sep, damage/fit_ablit 128+128 in-sample)","request-axis Cohen's d 11.15 (instruct, layer 22) -- A_prompt analogue",7.6141625942938616,3.535837405706139,False,DIFFERENT_ESTIMAND,other,"NOT the same estimand: Lane B fitted and scored in-sample on its own 128+128 prompt corpus; recomputed value here is the A_prompt EASY 48+48 in-sample d at l*; the Lane-B-corpus value is re-derived in laneb_accum.json (see the Lane B rows of this ledger). Held-out (EASY-fit, HARD-scored) peak d = 2.45"
11.41,"art_2sz7g3MD4_y3 Lane B (r_ablit_sep, damage/fit_ablit 128+128 in-sample)",request-axis Cohen's d 11.41 (SafeRL) -- A_prompt analogue,8.46106440584218,2.9489355941578204,False,DIFFERENT_ESTIMAND,other,"NOT the same estimand: Lane B fitted and scored in-sample on its own 128+128 prompt corpus; recomputed value here is the A_prompt EASY 48+48 in-sample d at l*; the Lane-B-corpus value is re-derived in laneb_accum.json (see the Lane B rows of this ledger). Held-out (EASY-fit, HARD-scored) peak d = 2.34"
0.528,iter-2 eval (gen_art_evaluation_1) M5 k=16 AUROC,"k=16 restricted-budget AUROC, Base -- plan step-1b protocol",0.5040585937500001,0.023941406249999964,False,DIFFERENT_ESTIMAND,rate,"DIFFERENT PROTOCOL: iter-2 M5 fitted on 16 Lane B LATE-window items and scored the rest; recomputed here = 16+16 EASY prompts, layer chosen inside the subset, scored on 160 HARD prompts (plan step 1b). Ordering Base<STaR<instruct/SafeRL is the comparable part"
0.54,iter-2 eval (gen_art_evaluation_1) M5 k=16 AUROC,"k=16 restricted-budget AUROC, STaR -- plan step-1b protocol",0.59983671875,0.05983671874999996,False,DIFFERENT_ESTIMAND,rate,"DIFFERENT PROTOCOL: iter-2 M5 fitted on 16 Lane B LATE-window items and scored the rest; recomputed here = 16+16 EASY prompts, layer chosen inside the subset, scored on 160 HARD prompts (plan step 1b). Ordering Base<STaR<instruct/SafeRL is the comparable part"
0.679,iter-2 eval (gen_art_evaluation_1) M5 k=16 AUROC,"k=16 restricted-budget AUROC, instruct -- plan step-1b protocol",0.8497781249999999,0.1707781249999999,False,DIFFERENT_ESTIMAND,rate,"DIFFERENT PROTOCOL: iter-2 M5 fitted on 16 Lane B LATE-window items and scored the rest; recomputed here = 16+16 EASY prompts, layer chosen inside the subset, scored on 160 HARD prompts (plan step 1b). Ordering Base<STaR<instruct/SafeRL is the comparable part"
0.698,iter-2 eval (gen_art_evaluation_1) M5 k=16 AUROC,"k=16 restricted-budget AUROC, SafeRL -- plan step-1b protocol",0.9036015625,0.20560156250000006,False,DIFFERENT_ESTIMAND,rate,"DIFFERENT PROTOCOL: iter-2 M5 fitted on 16 Lane B LATE-window items and scored the rest; recomputed here = 16+16 EASY prompts, layer chosen inside the subset, scored on 160 HARD prompts (plan step 1b). Ordering Base<STaR<instruct/SafeRL is the comparable part"
-2.86,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,BL1 median delta over 6 effective pairs,-2.858282744884491,0.0017172551155089089,True,MATCH,other,
-2.98,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,peak-drive median delta over 6 effective pairs,-2.97765851020813,0.0023414897918700994,True,MATCH,other,
0.992,art_OyQwmkiWj-5u (iter-2 Lane A screen) out/SUMMARY.md,|cos| parent-child harm direction P0 shallow,0.9988641738891602,0.006864173889160163,False,MISMATCH,rate,"per-layer |cos| of EASY diff-in-means directions parent vs child, mean over shallow / deep half"
