gate,artifact,threshold,observed,copied_value,provenance,verdict,consequence,note
G_COMMISSIONED_PAIR,art_1hlgObsQWnZS (iter-2 dataset),present,qwen3__Qwen3-4B-abliterated,qwen3__Qwen3-4B-abliterated,copied - not recomputable,PASS,none (PASS),Qwen/Qwen3-4B -> mlabonne/Qwen3-4B-abliterated
G_CONTROL_BALANCE,art_1hlgObsQWnZS (iter-2 dataset),<= 0.25,0.0081,0.0081,copied - not recomputable,PASS,none (PASS),"max |delta log-freq| = 0.2319, matched 33 of 44, 11 unmatched inside the 0.25 caliper"
G_DEDUP,art_1hlgObsQWnZS (iter-2 dataset),0 remaining,0,0,copied - not recomputable,PASS,none (PASS),removed exact=0 near=31
G_DISJOINT_ITER1,art_1hlgObsQWnZS (iter-2 dataset),empty intersection,0,0,copied - not recomputable,PASS,none (PASS),
G_DOWNLOAD_BUDGET,art_1hlgObsQWnZS (iter-2 dataset),< 300 MB,125.49,125.49,copied - not recomputable,PASS,none (PASS),"megabytes measured on disk: public corpora 125.35 MB + Hub metadata/cards 0.14 MB; tokenizers were read from the run-shared HF cache, not downloaded"
G_EFFECTIVE_IN_STRATUM,art_1hlgObsQWnZS (iter-2 dataset),>= 4,2,2,recomputed,FAIL,E1 edit-recipe tests UNDER-POWERED by construction (strata 3/2/1 effective pairs); no survivor promotion possible,"EFFECTIVE by stratum {'standard_prompt_rank1': 2, 'unknown': 1}"
G_FAMILIES,art_1hlgObsQWnZS (iter-2 dataset),>= 8,13,13,copied - not recomputable,PASS,none (PASS),"families: ['gemma', 'gemma3', 'granite', 'llama3.2', 'minicpm', 'olmo2', 'phi', 'qwen2.5', 'qwen3', 'smollm2', 'smollm3', 'stablelm', 'tinyllama']"
G_FRESH_HELDOUT,art_1hlgObsQWnZS (iter-2 dataset),>= 3,3,3,copied - not recomputable,PASS,none (PASS),"fresh-eligible 8, shortfall extras []"
G_HEDGE_FORMS,art_1hlgObsQWnZS (iter-2 dataset),>= 20,24,24,copied - not recomputable,PASS,none (PASS),"mined inside a DECLARED hedge frame. Unrestricted mining on this corpus is TOPIC-CONFOUNDED - its top forms were ['letters diaries', 'diaries', 'ownership of', 'several websites', 'there are several w"
G_JOIN_CONSISTENCY,art_1hlgObsQWnZS (iter-2 dataset),max abs difference < 1e-9,0.0,0.0,copied - not recomputable,PASS,none (PASS),"0 mismatches; 1 of 2370 judged rows had an unparsable primary judge output and are dropped from the denominator, which is the convention iteration-1's published columns already used"
G_NONEFFECTIVE,art_1hlgObsQWnZS (iter-2 dataset),>= 2,0,0,recomputed,FAIL,"no labelled specificity control; granite NULL_EDIT demoted to AMBIGUOUS, so specificity is argued from MEASURED deltas (dHC 0.000) not labels","label_robust histogram {'EFFECTIVE': 3, 'None(not robust)': 2, 'AMBIGUOUS(not robust)': 3, 'UNSCORED': 10}"
