READOUT_CLASS,gate_id,lane,checkpoint,description,threshold,observed,verdict,source_file,json_path,which_reported_conclusion_depends_on_it,gate_measures_class
metadata,A_G1_direction_stability|NonSafetyFT-STaR,A,NonSafetyFT-STaR,"split-half cosine of the diff-in-means (early-window, or-bench fitting corpus) content/arming axis vs threshold 0.7; FITTING CORPUS: 128 category-matched hazardous/benign ACTION pairs drawn from or-bench-toxic vs or-bench-hard-1k, read at the EARLY prompt-side window under the two-slot ACTION frame -- disjoint from the 96 XSTest confirmatory twins, but NOT a literal generated continuation",0.7,0.3625,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G1_direction_stability.NonSafetyFT-STaR,"Every Lane A number computed by projecting onto this checkpoint's per-checkpoint diff-in-means direction (K1 O/CB/A/T, A_net, position_curve, cos_table, cross_checkpoint_directions) depends on this direction being STABLE across refits; it FAILS for NonSafetyFT-STaR (0.363 < 0.7), so the 'Lane A finds an arming coordinate' story rests on an axis that does not reproduce itself under a fresh half-split.",activation
metadata,A_G1_direction_stability|Qwen3-4B,A,Qwen3-4B,"split-half cosine of the diff-in-means (early-window, or-bench fitting corpus) content/arming axis vs threshold 0.7; FITTING CORPUS: 128 category-matched hazardous/benign ACTION pairs drawn from or-bench-toxic vs or-bench-hard-1k, read at the EARLY prompt-side window under the two-slot ACTION frame -- disjoint from the 96 XSTest confirmatory twins, but NOT a literal generated continuation",0.7,0.3742,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G1_direction_stability.Qwen3-4B,"Every Lane A number computed by projecting onto this checkpoint's per-checkpoint diff-in-means direction (K1 O/CB/A/T, A_net, position_curve, cos_table, cross_checkpoint_directions) depends on this direction being STABLE across refits; it FAILS for Qwen3-4B (0.374 < 0.7), so the 'Lane A finds an arming coordinate' story rests on an axis that does not reproduce itself under a fresh half-split.",activation
metadata,A_G1_direction_stability|Qwen3-4B-Base-chat,A,Qwen3-4B-Base-chat,"split-half cosine of the diff-in-means (early-window, or-bench fitting corpus) content/arming axis vs threshold 0.7; FITTING CORPUS: 128 category-matched hazardous/benign ACTION pairs drawn from or-bench-toxic vs or-bench-hard-1k, read at the EARLY prompt-side window under the two-slot ACTION frame -- disjoint from the 96 XSTest confirmatory twins, but NOT a literal generated continuation",0.7,0.363,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G1_direction_stability.Qwen3-4B-Base-chat,"Every Lane A number computed by projecting onto this checkpoint's per-checkpoint diff-in-means direction (K1 O/CB/A/T, A_net, position_curve, cos_table, cross_checkpoint_directions) depends on this direction being STABLE across refits; it FAILS for Qwen3-4B-Base-chat (0.363 < 0.7), so the 'Lane A finds an arming coordinate' story rests on an axis that does not reproduce itself under a fresh half-split.",activation
metadata,A_G1_direction_stability|Qwen3-4B-Base-plain,A,Qwen3-4B-Base-plain,"split-half cosine of the diff-in-means (early-window, or-bench fitting corpus) content/arming axis vs threshold 0.7; FITTING CORPUS: 128 category-matched hazardous/benign ACTION pairs drawn from or-bench-toxic vs or-bench-hard-1k, read at the EARLY prompt-side window under the two-slot ACTION frame -- disjoint from the 96 XSTest confirmatory twins, but NOT a literal generated continuation",0.7,0.3642,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G1_direction_stability.Qwen3-4B-Base-plain,"Every Lane A number computed by projecting onto this checkpoint's per-checkpoint diff-in-means direction (K1 O/CB/A/T, A_net, position_curve, cos_table, cross_checkpoint_directions) depends on this direction being STABLE across refits; it FAILS for Qwen3-4B-Base-plain (0.364 < 0.7), so the 'Lane A finds an arming coordinate' story rests on an axis that does not reproduce itself under a fresh half-split.",activation
metadata,A_G1_direction_stability|Qwen3-4B-SafeRL,A,Qwen3-4B-SafeRL,"split-half cosine of the diff-in-means (early-window, or-bench fitting corpus) content/arming axis vs threshold 0.7; FITTING CORPUS: 128 category-matched hazardous/benign ACTION pairs drawn from or-bench-toxic vs or-bench-hard-1k, read at the EARLY prompt-side window under the two-slot ACTION frame -- disjoint from the 96 XSTest confirmatory twins, but NOT a literal generated continuation",0.7,0.3868,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G1_direction_stability.Qwen3-4B-SafeRL,"Every Lane A number computed by projecting onto this checkpoint's per-checkpoint diff-in-means direction (K1 O/CB/A/T, A_net, position_curve, cos_table, cross_checkpoint_directions) depends on this direction being STABLE across refits; it FAILS for Qwen3-4B-SafeRL (0.387 < 0.7), so the 'Lane A finds an arming coordinate' story rests on an axis that does not reproduce itself under a fresh half-split.",activation
metadata,A_G1_direction_stability|Qwen3-4B-abliterated,A,Qwen3-4B-abliterated,"split-half cosine of the diff-in-means (early-window, or-bench fitting corpus) content/arming axis vs threshold 0.7; FITTING CORPUS: 128 category-matched hazardous/benign ACTION pairs drawn from or-bench-toxic vs or-bench-hard-1k, read at the EARLY prompt-side window under the two-slot ACTION frame -- disjoint from the 96 XSTest confirmatory twins, but NOT a literal generated continuation",0.7,0.3523,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G1_direction_stability.Qwen3-4B-abliterated,"Every Lane A number computed by projecting onto this checkpoint's per-checkpoint diff-in-means direction (K1 O/CB/A/T, A_net, position_curve, cos_table, cross_checkpoint_directions) depends on this direction being STABLE across refits; it FAILS for Qwen3-4B-abliterated (0.352 < 0.7), so the 'Lane A finds an arming coordinate' story rests on an axis that does not reproduce itself under a fresh half-split.",activation
metadata,A_G1_direction_stability|RandInit-4B,A,RandInit-4B,"split-half cosine of the diff-in-means (early-window, or-bench fitting corpus) content/arming axis vs threshold 0.7; FITTING CORPUS: 128 category-matched hazardous/benign ACTION pairs drawn from or-bench-toxic vs or-bench-hard-1k, read at the EARLY prompt-side window under the two-slot ACTION frame -- disjoint from the 96 XSTest confirmatory twins, but NOT a literal generated continuation",0.7,0.1561,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G1_direction_stability.RandInit-4B,"Every Lane A number computed by projecting onto this checkpoint's per-checkpoint diff-in-means direction (K1 O/CB/A/T, A_net, position_curve, cos_table, cross_checkpoint_directions) depends on this direction being STABLE across refits; it FAILS for RandInit-4B (0.156 < 0.7), so the 'Lane A finds an arming coordinate' story rests on an axis that does not reproduce itself under a fresh half-split.",activation
metadata,A_G1_PROBE_FALLBACK,A,ALL_7,"registered B2 fallback: supervised logistic-probe direction fitted on the same or-bench fitting corpus, cos() against the diff-in-means r_content it stands in for once G1 fails","n/a (diagnostic, no registered pass/fail)","{""NonSafetyFT-STaR"": 0.4007, ""Qwen3-4B"": 0.4214, ""Qwen3-4B-Base-chat"": 0.3943, ""Qwen3-4B-Base-plain"": 0.3931, ""Qwen3-4B-SafeRL"": 0.4166, ""Qwen3-4B-abliterated"": 0.4373, ""RandInit-4B"": 0.7858}",DIAGNOSTIC,LANE_A/out/method_out.json,$.metadata.candidates.<ckpt>.K1_probe_direction.cos_with_r_content_at_band,"The claim that 'once diff-in-means fails G1, the supervised probe axis is PRIMARY and the diff-in-means row is retained only as the pre-registered readout' depends on the two axes agreeing; cos(probe, diff-in-means) is only 0.39-0.44 in the six trained checkpoints (0.79 in the untrained RandInit-4B control), so the 'fallback' is not a refinement of the same axis -- it is a THIRD direction under the r_content name, on top of the three-lanes finding.",activation
metadata,A_G2_layer_band,A,ALL_7 (chosen on Qwen3-4B only),"frozen 9-layer read band, chosen by cross-fitted Cohen's d on the fitting corpus","band_width_layers=9, band_fraction_of_depth=0.25","band=[14, 22], selected_cross_fitted_d=0.8816",PASS,LANE_A/out/method_out.json,$.metadata.gates.G2_layer_band,"Every K1-K5/A_net/cos_table/position_curve number in Lane A is read from this single frozen band [14,22]; it PASSES on Qwen3-4B alone and is then REUSED unchanged for all seven checkpoints, so a band mis-chosen for one model's geometry cannot itself explain the G1 failures reported above, but it does mean the band was never re-validated per checkpoint.",activation
metadata,A_G3_positive_control|NonSafetyFT-STaR,A,NonSafetyFT-STaR,"cross-fitted Cohen's d, hazardous vs benign continuation, vs threshold 0.8",0.8,0.8847,PASS,LANE_A/out/method_out.json,$.metadata.gates.G3_positive_control.NonSafetyFT-STaR,"The floor claim that the harvest can separate hazardous from benign continuations AT ALL, which every other Lane A number presupposes, depends on this gate; it PASSES for NonSafetyFT-STaR (d_cross_fitted=0.885), so this checkpoint's failure to reach G1/G5 cannot be blamed on an unseparable harvest",activation
metadata,A_G3_positive_control|Qwen3-4B,A,Qwen3-4B,"cross-fitted Cohen's d, hazardous vs benign continuation, vs threshold 0.8",0.8,0.9356,PASS,LANE_A/out/method_out.json,$.metadata.gates.G3_positive_control.Qwen3-4B,"The floor claim that the harvest can separate hazardous from benign continuations AT ALL, which every other Lane A number presupposes, depends on this gate; it PASSES for Qwen3-4B (d_cross_fitted=0.936), so this checkpoint's failure to reach G1/G5 cannot be blamed on an unseparable harvest",activation
metadata,A_G3_positive_control|Qwen3-4B-Base-chat,A,Qwen3-4B-Base-chat,"cross-fitted Cohen's d, hazardous vs benign continuation, vs threshold 0.8",0.8,0.8951,PASS,LANE_A/out/method_out.json,$.metadata.gates.G3_positive_control.Qwen3-4B-Base-chat,"The floor claim that the harvest can separate hazardous from benign continuations AT ALL, which every other Lane A number presupposes, depends on this gate; it PASSES for Qwen3-4B-Base-chat (d_cross_fitted=0.895), so this checkpoint's failure to reach G1/G5 cannot be blamed on an unseparable harvest",activation
metadata,A_G3_positive_control|Qwen3-4B-Base-plain,A,Qwen3-4B-Base-plain,"cross-fitted Cohen's d, hazardous vs benign continuation, vs threshold 0.8",0.8,0.9005,PASS,LANE_A/out/method_out.json,$.metadata.gates.G3_positive_control.Qwen3-4B-Base-plain,"The floor claim that the harvest can separate hazardous from benign continuations AT ALL, which every other Lane A number presupposes, depends on this gate; it PASSES for Qwen3-4B-Base-plain (d_cross_fitted=0.900), so this checkpoint's failure to reach G1/G5 cannot be blamed on an unseparable harvest",activation
metadata,A_G3_positive_control|Qwen3-4B-SafeRL,A,Qwen3-4B-SafeRL,"cross-fitted Cohen's d, hazardous vs benign continuation, vs threshold 0.8",0.8,0.9538,PASS,LANE_A/out/method_out.json,$.metadata.gates.G3_positive_control.Qwen3-4B-SafeRL,"The floor claim that the harvest can separate hazardous from benign continuations AT ALL, which every other Lane A number presupposes, depends on this gate; it PASSES for Qwen3-4B-SafeRL (d_cross_fitted=0.954), so this checkpoint's failure to reach G1/G5 cannot be blamed on an unseparable harvest",activation
metadata,A_G3_positive_control|Qwen3-4B-abliterated,A,Qwen3-4B-abliterated,"cross-fitted Cohen's d, hazardous vs benign continuation, vs threshold 0.8",0.8,0.8513,PASS,LANE_A/out/method_out.json,$.metadata.gates.G3_positive_control.Qwen3-4B-abliterated,"The floor claim that the harvest can separate hazardous from benign continuations AT ALL, which every other Lane A number presupposes, depends on this gate; it PASSES for Qwen3-4B-abliterated (d_cross_fitted=0.851), so this checkpoint's failure to reach G1/G5 cannot be blamed on an unseparable harvest",activation
metadata,A_G3_positive_control|RandInit-4B,A,RandInit-4B,"cross-fitted Cohen's d, hazardous vs benign continuation, vs threshold 0.8",0.8,0.582,FAIL,LANE_A/out/method_out.json,$.metadata.gates.G3_positive_control.RandInit-4B,"The floor claim that the harvest can separate hazardous from benign continuations AT ALL, which every other Lane A number presupposes, depends on this gate; it is the ONLY cell in Lane A's whole gate table that fails for a reason other than G1/G5/G7 (d_cross_fitted=0.582 < 0.8), which is exactly what licenses treating RandInit-4B as a genuine untrained negative control rather than a broken pipeline",activation
