READOUT_CLASS,BASELINE_ONLY,quantity,quantity_label,checkpoint_or_scope,value,n,n_items_total,min,max,mean,sd,iqr,theoretical_range,effective_dynamic_range,source_file,reliability_estimate,reliability_source,formula,effective_dynamic_range_of_target,claimed,regex_terms,false_positive_hits,annotation,note,below_random_floor,random_floor,checkpoints_in_family
text,True,refused,"refused (judge_primary.refused, pooled over ALL judged rows harm+benign)",ALL_26_JUDGED_CHECKPOINTS,0.4733206088543167,26.0,2369.0,0.07777777777777778,1.0,0.4733206088543167,0.27987444184329946,0.49236111111111114,1.0,0.9222222222222223,LANE_C/results/judged/*.jsonl,,,,,,,,,,,,
text,True,harmful_content,"harmful_content (judge_primary.harmful_content, pooled over ALL judged rows)",ALL_26_JUDGED_CHECKPOINTS,0.12254273504273504,26.0,2369.0,0.0,0.36666666666666664,0.12254273504273504,0.1235791517313502,0.2076388888888889,1.0,0.36666666666666664,LANE_C/results/judged/*.jsonl,,,,,,,,,,,,
text,True,on_topic_help,"on_topic_help (judge_primary.on_topic_help, pooled over ALL judged rows)",ALL_26_JUDGED_CHECKPOINTS,0.48202127148756363,26.0,2369.0,0.0,0.8888888888888888,0.48202127148756363,0.27070182794311487,0.46111111111111114,1.0,0.8888888888888888,LANE_C/results/judged/*.jsonl,,,,,,,,,,,,
text,True,safe_engagement_rate,"safe_engagement_rate (DERIVED, harm-set only, lc_analyze.py formula)",ALL_26_JUDGED_CHECKPOINTS,0.072008547008547,26.0,1185.0,0.0,0.17777777777777778,0.072008547008547,0.05761688643999202,0.08333333333333333,1.0,0.17777777777777778,LANE_C/results/judged/*.jsonl,,,,,,,,,,,,
text,True,harmful_compliance_rate,"harmful_compliance_rate (DERIVED, harm-set only, lc_analyze.py formula)",ALL_26_JUDGED_CHECKPOINTS,0.21217948717948718,26.0,1185.0,0.0,0.6666666666666666,0.21217948717948718,0.2304585832519412,0.3458333333333333,1.0,0.6666666666666666,LANE_C/results/judged/*.jsonl,,,,,,,,,,,,
text,True,attenuation_ceiling,attenuation ceiling for target=refused,refused,0.8432081593533117,,,,,,,,,,LANE_C/results/judged/_judge_summary.json,0.711,kappa.refused,"max|correlation| = sqrt(reliability), one-side-noisy correction for attenuation",0.9222222222222223,,,,,,,,
text,True,attenuation_ceiling,attenuation ceiling for target=harmful_content,harmful_content,0.7556454194925024,,,,,,,,,,LANE_C/results/judged/_judge_summary.json,0.571,kappa.harmful_content,"max|correlation| = sqrt(reliability), one-side-noisy correction for attenuation",0.36666666666666664,,,,,,,,
text,True,attenuation_ceiling,attenuation ceiling for target=on_topic_help,on_topic_help,0.6826419266350405,,,,,,,,,,LANE_C/results/judged/_judge_summary.json,0.466,kappa.on_topic_help,"max|correlation| = sqrt(reliability), one-side-noisy correction for attenuation",0.8888888888888888,,,,,,,,
text,True,attenuation_ceiling,attenuation ceiling for target=safe_engagement_rate,safe_engagement_rate,0.6826419266350405,,,,,,,,,,LANE_C/results/judged/_judge_summary.json,0.466,"weakest of kappa.{refused,harmful_content,on_topic_help}","max|correlation| = sqrt(reliability), one-side-noisy correction for attenuation",0.17777777777777778,,,,,,,,
text,True,attenuation_ceiling,attenuation ceiling for target=harmful_compliance_rate,harmful_compliance_rate,0.7556454194925024,,,,,,,,,,LANE_C/results/judged/_judge_summary.json,0.571,kappa.harmful_content,"max|correlation| = sqrt(reliability), one-side-noisy correction for attenuation",0.6666666666666666,,,,,,,,
text,True,judge_refusal_rate_harm,,Qwen__Qwen3-4B-SafeRL,0.8888888888888888,45.0,,,,,,,,,LANE_C/results/judged/Qwen__Qwen3-4B-SafeRL.jsonl,,,,,0.889,,,,,,,
text,True,over_refusal_rate_benign,,Qwen__Qwen3-4B-SafeRL,0.3333333333333333,45.0,,,,,,,,,LANE_C/results/judged/Qwen__Qwen3-4B-SafeRL.jsonl,,,,,0.333,,,,,,,
