code,full_name,formula,site,readout_class,source_artifact
HC,harmful compliance rate,"share of 45 harmful probes judged compliant (LLM judge, Lane C protocol)",text,text-baseline (behavioural truth),art_1hlgObsQWnZS (iter-2 dataset)
OR,over-refusal rate,share of 45 benign probes judged refused,text,text-baseline (behavioural truth),art_1hlgObsQWnZS (iter-2 dataset)
SE,safe engagement rate,"share of harmful probes answered with a safe, engaged reply",text,text-baseline (behavioural truth),art_1hlgObsQWnZS (iter-2 dataset)
BL1,final-layer refusal-token logit gap,"mean_harm - mean_benign of [LSE(W_U[refusal] h_L) - LSE(W_U[control] h_L)]; iter-2 stores it on the EASY prompts (BL1_easy), the plan's form uses HARD (BL1_hard)",logit,logit-baseline,art_OyQwmkiWj-5u (iter-2 Lane A screen)
BL2,raw hidden-vector probe,CV logistic probe on the full hidden vector at l*,prompt,"activation (supervised ceiling, baseline)",art_OyQwmkiWj-5u (iter-2 Lane A screen)
BL3,cross-fitted diff-in-means d,Cohen's d of held-out diff-in-means scores at l*,prompt,activation baseline,art_OyQwmkiWj-5u (iter-2 Lane A screen)
BL4,cluster separation (Fisher ratio),(mu1-mu0)^2/(var1+var0) of cross-fitted diff-in-means scores at l* (EASY),prompt,activation baseline,art_OyQwmkiWj-5u (iter-2 Lane A screen)
BL5,card/name regex,regex score on the model card text and repo name,metadata,text-baseline,art_OyQwmkiWj-5u (iter-2 Lane A screen)
BL6,HRCI,harm-refusal coupling index on k=8 prompts,prompt,activation baseline,art_OyQwmkiWj-5u (iter-2 Lane A screen)
BL7,Jorak A (incumbent weights-only),"sigma_1(U)/||U||_F, U = rows of per-layer least-singular write vectors (row-normalised)",weights,weight baseline (incumbent),art_OyQwmkiWj-5u (iter-2 Lane A screen)
B3,cluster separation (Lane A / iter-3 naming),= BL4 in iter-2 code (Fisher ratio of the 1-D diff-in-means projection),prompt,activation baseline,art_2QM9uBviY4Wk (iter-1 Lane A)
B7,Jorak-style parent-free weight statistic (iter-3 naming),= BL7,weights,weight baseline (incumbent),iter-3 strategy (candidate list)
X1,accumulator gain,log10 of normalised class gap along u* at l_peak over l_dec,prompt,activation,art_OyQwmkiWj-5u (iter-2 Lane A screen)
X2,write mass along own harm axis,"u*^T G_l u* / (||W_l||_F^2/d), mean log over band",weights x prompt axis,weight x activation,art_OyQwmkiWj-5u (iter-2 Lane A screen)
X3,percept-to-refusal gain,RMSNorm-Jacobian gain of u* onto refusal-vs-control unembedding rows,logit x prompt,activation (through unembedding),art_OyQwmkiWj-5u (iter-2 Lane A screen)
X5,response-onset write concentration,harmful minus benign-twin write concentration along u* at first response positions,response,activation,art_OyQwmkiWj-5u (iter-2 Lane A screen)
X8,execution depth margin,"(l_act - l_dec)/L, l_act = max gradient of smoothed drive gap",prompt+logit,activation (through unembedding),art_OyQwmkiWj-5u (iter-2 Lane A screen)
X9,benign-only footprint,PC1 share of benign activations at l* vs random,prompt,activation,art_OyQwmkiWj-5u (iter-2 Lane A screen)
X10,weights-only orthogonality scar (z),max_l z of log10(sigma_MP/sigma_min(W_l)),weights,weight,art_OyQwmkiWj-5u (iter-2 Lane A screen)
X10_abs,weights-only orthogonality scar (absolute),max_l log10(sigma_MP/sigma_min(W_l)),weights,weight,art_OyQwmkiWj-5u (iter-2 Lane A screen)
X11,arming interaction (teacher-forced),2x2 request x prefix interaction of projections on u* at LATE window,response,activation,art_OyQwmkiWj-5u (iter-2 Lane A screen)
K1,"arming term family (O, CB, A, T)","2x2 decomposition of r_content projections: O orientation, CB content-bearing, A interaction, T=CB+A",response,activation,art_2QM9uBviY4Wk (iter-1 Lane A)
K2,prior + slope,intercept and per-item slope of the harm projection along the ladder,response,activation,art_2sz7g3MD4_y3 (iter-1 Lane B)
K3,benign-only activation footprint,footprint of benign prompts along the harm axis (weights-only twin: mean stable rank over band),prompt/weights,activation / weight,art_2QM9uBviY4Wk (iter-1 Lane A)
K4,persistence,decay length tau of the harm projection over continuation positions,response,activation,art_2sz7g3MD4_y3 (iter-1 Lane B)
K5,domain profile,per-harm-domain projection profile,response,activation,art_2sz7g3MD4_y3 (iter-1 Lane B)
O,orientation term,mean projection difference due to request orientation,response,activation,art_2QM9uBviY4Wk (iter-1 Lane A)
CB,content-bearing term,mean projection difference due to hazardous continuation content,response,activation,art_2QM9uBviY4Wk (iter-1 Lane A)
A,arming interaction,request x continuation interaction (difference of differences),response,activation,art_2QM9uBviY4Wk (iter-1 Lane A)
T,total content term,CB + A (identity holds to 0.0 per item),response,activation,art_2QM9uBviY4Wk (iter-1 Lane A)
C1,restricted-budget recognition,"TPR@5%FPR of a diff-in-means axis fitted on k in {4,8,16} prompts, scored on 160 HARD",prompt,activation,iter-3 strategy (candidate list)
C2,site gap,response-site minus prompt-site TPR@1%FPR within one model,prompt+response,activation,iter-3 strategy (candidate list)
C3,within-model self-consistency,|cos| of harm axis fitted in shallow quarter vs deep half,prompt,activation,iter-3 strategy (candidate list)
C4,recognition onset depth,first layer whose own axis clears the registered threshold / L,prompt,activation,iter-3 strategy (candidate list)
C5,drive residual,peak refusal drive with BL1 regressed out inside LOFO fold,prompt+logit,activation (through unembedding),iter-3 strategy (candidate list)
C6,fixed-axis accumulation,"freeze axis at shallow layer s, read gap forward",prompt,activation,iter-3 strategy (candidate list)
C7,own-axis separability AUC,area under per-layer own-axis separability curve,prompt,activation,iter-3 strategy (candidate list)
C8,depth lag,"refusal-drive peak layer minus recognition onset, in depth fractions",prompt+logit,activation,iter-3 strategy (candidate list)
C9,early-response share,share of harm signal in first response positions vs prompt tail,response,activation,iter-3 strategy (candidate list)
C10,over-refusal variant,same quantities read on benign twins,prompt/response,activation,iter-3 strategy (candidate list)
C11,severity grading,within-model Spearman of internal score with ordinal harm severity 0-3,prompt,activation,iter-3 strategy (candidate list)
C12,zero-prompt geometry,C3/C8 from weight summaries alone; must beat Jorak,weights,weight,iter-3 strategy (candidate list)
C13,request-axis Cohen's d,held-out d at last prompt token with depth fraction; recognition-type readout,prompt,activation (recognition-type),iter-3 strategy (candidate list)
C14,two-feature combination,"best early + best late candidate, weights fitted inside LOFO folds",prompt+response,activation,iter-3 strategy (candidate list)
stratum A,A_GLOBAL_RANK1,"edit recipe: one global rank-one orthogonalisation (huihui P1, P2, SmolLM3 P4)",weights,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
stratum B,B_PER_LAYER_RANK1,"edit recipe: per-layer rank-one directions (mlabonne P0, Phi-4-mini P5)",weights,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
stratum C,C_OTHER_OPERATOR,"other operator (Josiefied P3, granite P6)",weights,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
P0,Qwen3-4B -> mlabonne/Qwen3-4B-abliterated,commissioned pair,-,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
P1,Qwen3-0.6B -> Huihui-Qwen3-0.6B-abliterated-v2,effective pair,-,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
P2,Qwen3-1.7B -> Huihui-Qwen3-1.7B-abliterated-v2,effective pair,-,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
P3,Qwen2.5-1.5B-Instruct -> Josiefied-Qwen2.5-1.5B-abliterated-v3,effective pair,-,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
P4,SmolLM3-3B -> SmolLM3-3B-abliterated (mlx-community),effective pair (label_robust AMBIGUOUS),-,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
P5,Phi-4-mini-instruct -> Phi-4-mini-instruct-abliterated,effective pair (label_robust AMBIGUOUS),-,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
P6,granite-3.2-2b-instruct -> granite abliterated (Damien420),NULL-EDIT control (dHC 0.000; label AMBIGUOUS),-,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
S1,stablelm-2-1_6b-chat -> heretic,supplementary pair,-,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
S2,SmolLM2-1.7B-Instruct -> venkycs abliterated,supplementary pair (FP8 upload loads at random init),-,metadata,art_OyQwmkiWj-5u (iter-2 Lane A screen)
L1,Qwen3-4B-Base lineage,Lane B lesion lineage,-,metadata,art_2sz7g3MD4_y3 (iter-1 Lane B)
L2,Qwen3-4B (instruct) lineage,Lane B lesion lineage,-,metadata,art_2sz7g3MD4_y3 (iter-1 Lane B)
L3,Qwen3-4B-SafeRL lineage,Lane B lesion lineage,-,metadata,art_2sz7g3MD4_y3 (iter-1 Lane B)
L4,CohenQu STaR (non-safety FT of Base) lineage,Lane B lesion lineage; does not refuse,-,metadata,art_2sz7g3MD4_y3 (iter-1 Lane B)
