READOUT_CLASS,BASELINE_ONLY,DESCRIPTIVE,quantity,metric_consumers,source_file,exists,sha256,size_bytes,contents,verdict,note
metadata,True,True,"Lane A full method output (gates, S1 table, nulls, baselines)","M1,M2,M4,M8",LANE_A/out/method_out.json,True,4580e587dd432b7193d8613eafde6eaeaff757aa79c57a40b44a68fe3a6c0a23,931493,"dict, 2 top-level keys: ['metadata', 'datasets']",RECOMPUTABLE_HERE,
metadata,True,True,Lane A human digest (licence sentence + limitations sentence),"M3d,M8",LANE_A/out/SUMMARY.md,True,c36666020b3a1d7d045a132a6807abfab1e3043a576018d6589849503d4db705,14445,"text, 155 lines, 14439 chars",RECOMPUTABLE_HERE,
metadata,True,True,Lane A frozen pre-registration,M4,LANE_A/work/prereg.json,True,de0a44757c19dbf08978b586da90eafb7de5960ca6cf0f184462d9f54652dbb6,11376,"dict, 14 top-level keys: ['candidates', 'dataset_shas', 'frozen_before_first_forward_pass', 'hardware', 'item_ids', 'lane', 'package_versions', 'panel', 'power_honesty', 'run_invariant', 's1_rule', 'seed'] ...",RECOMPUTABLE_HERE,
activation,False,True,"Lane A within-checkpoint |cos(r_content,r_ablit)|",M3a,LANE_A/out/released/cos_content_ablit.json,True,f1b54b9e8911714d1a7f5d4b44a1f9d8ed2480d741908ae16710d551431acb6b,8349,"dict, 7 top-level keys: ['NonSafetyFT-STaR', 'Qwen3-4B', 'Qwen3-4B-Base-chat', 'Qwen3-4B-Base-plain', 'Qwen3-4B-SafeRL', 'Qwen3-4B-abliterated', 'RandInit-4B']",RECOMPUTABLE_HERE,
activation,False,True,Lane A cross-checkpoint rotation matrix,M3c,LANE_A/out/released/cross_checkpoint_directions.json,True,da2395eafba6315e336ed08634239bf6a1187fc33937b9a66dbde2efdc9bc5db,56028,"dict, 2 top-level keys: ['lineage_note', 'pairs']",RECOMPUTABLE_HERE,
activation,False,True,Lane A per-item cell projections onto r_content,"M1(b),M2",LANE_A/out/released/per_item_cell_projections.csv,True,d5c7116502f1b1f464603e2bf720947beb3679db4efba0369303439033860c08,1862458,"csv, 24192 rows, 6 cols: ['checkpoint', 'pool', 'item_id', 'family', 'cell', 'projection_r_content']; dtypes={'checkpoint': 'str', 'pool': 'str', 'item_id': 'str', 'family': 'str', 'cell': 'str', 'projection_r_content': 'float64'}",RECOMPUTABLE_HERE,
activation,False,True,Lane A released direction vectors (7 arms x 2 axes),"M3c,M8",LANE_A/out/released/directions,True,DIRECTORY,5306112,"directory, 14 entries",RECOMPUTABLE_HERE,
metadata,True,True,"Lane A substrate builder (frame length, ACTION slot positions)",M8,LANE_A/lane_a/substrate.py,True,0ac68ffb47fe28f16839f7993fdebe9c6864857cc67ed383ae65a04e61336ef8,31247,"text, 737 lines, 31247 chars",RECOMPUTABLE_HERE,
activation,False,True,"Lane B lesion analysis (cosines, CV probe, depth profile)","M1,M2,M3a,M4",LANE_B/out/analysis.json,True,89a784595ba237637e682198c4c809ba07eb2bc2a18d6f90b497b43f9ad3a35a,2156182,"dict, 7 top-level keys: ['lineages', 'cross_lineage_metric_alpha0', 'S2_verdicts', 'S2_verdicts_perlayer_grid', 'S2_verdicts_full_annihilation_companion', 'S2_verdicts_full_annihilation_perlayer', 'DiD']",RECOMPUTABLE_HERE,
metadata,True,True,Lane B frozen pre-registration,M4,LANE_B/out/prereg.json,True,33a948187e973a8d4b7a5ef818394368c71ee4dd6334f1f41c289374b868130d,4686,"dict, 21 top-level keys: ['run', 'title', 'invariant', 'substrate_sha256', 'confirmatory_sha256', 'heldout_sha256', 'lineages', 'alpha_grid', 'edit', 'windows', 'band', 'directions'] ...",RECOMPUTABLE_HERE,
activation,False,True,Lane B per-item band activations at five lesion strengths,"M1(a),M6",LANE_B/out/harvest,True,DIRECTORY,8081597262,"112 files (104 npz, 8 json); lineages ['L1', 'L2', 'L3', 'L4']; alphas ['0.00', '0.25', '0.50', '0.75', '1.00']; 4200 arrays of shape (item, dim) indexed by layer",RECOMPUTABLE_HERE,
activation,False,True,Lane B released abliteration directions,M3a,LANE_B/out/released_directions,True,DIRECTORY,809175,"directory, 3 entries",RECOMPUTABLE_HERE,
text,True,True,Lane B causal (generation) arm,M8,LANE_B/out/causal,True,DIRECTORY,68130,"directory, 1 entries",PARTIAL,1/8 jobs produced output; 7 crashed
weight,False,True,Lane B Stage-9 weight audit of mlabonne's edit,M8,LANE_B/out/stage9_weightcheck.json,True,e3151531d39f9338d97ce73946669168292780f9444ca6c916ddde57a68ae4d9,23518,"dict, 9 top-level keys: ['child', 'parent', 'per_matrix', 'notes', 'have_r_ablit', 'global', 'embed_tokens', 'elapsed_s', 'summary']",RECOMPUTABLE_HERE,
activation,False,True,Lane B Stage-9 depth profile,M2,LANE_B/out/stage9_depth.json,True,e65bce75ca94d289ea72f7efff89640893b7f28405b348c3883d6664efef06db,8888,"dict, 2 top-level keys: ['self_attn.o_proj', 'mlp.down_proj']",RECOMPUTABLE_HERE,
activation,False,True,Lane C per-checkpoint stored feature scalars,"M1(c),M3a,M6",LANE_C/results/per_ckpt,True,DIRECTORY,3358161,"directory, 21 entries",RECOMPUTABLE_HERE,
activation,False,True,Lane C sealed-family feature scalars (truth withheld),M6,LANE_C/results/sealed,True,DIRECTORY,804911,"directory, 5 entries",RECOMPUTABLE_HERE,
text,True,True,Lane C judged generations (behavioural ground truth),"M6,M7",LANE_C/results/judged,True,DIRECTORY,2450984,"26 jsonl files, 2370 rows total, row keys=['slug', 'set', 'gt_id', 'category', 'prompt', 'response', 'judge_primary', 'judge_second']",RECOMPUTABLE_HERE,
text,True,True,Lane C raw generations,M7,LANE_C/results/gens,True,DIRECTORY,2164781,"26 jsonl files, 2370 rows total, row keys=['slug', 'set', 'gt_id', 'category', 'prompt', 'response']",RECOMPUTABLE_HERE,
metadata,True,True,"Lane C S3 tables, budget curve and machinery controls","M5,M7,M8",LANE_C/results/s3/s3_results.json,True,5f6dabafc1b1854620751ba48c68157a73b0b6460efa01c9dd11eb51182d0315,45559,"dict, 5 top-level keys: ['scored_families', 'sealed_families', 'targets', 'behavioural_columns', 's3_predictions']",RECOMPUTABLE_HERE,
metadata,True,True,Lane C frozen pre-registration,M4,LANE_C/prereg.json,True,6e2895c9a641fc10f2d600e756efb5607aa195dbfd1c290d9bac8669ddad86c0,14563,"dict, 15 top-level keys: ['salt', 'layer_band_depth_fraction', 'read_windows', 'panel', 'families', 'sealed_families', 'scored_families', 'harvest_item_ids', 'asset_sha256', 'candidates', 'baselines', 'registered_predictions'] ...",RECOMPUTABLE_HERE,
metadata,True,True,"Lane C full method output (panel table, truth columns)","M6,M7,M8",LANE_C/method_out.json,True,c3fa4566de71786935b5bfe4d0d7d31682b5379c2f0a53d04a648a4a8273193a,2415706,"dict, 2 top-level keys: ['metadata', 'datasets']",RECOMPUTABLE_HERE,
